Table 11 : Unemployment Rate by Sex and Age,,,,,,,,
,,,,,,,,
,,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate
,,(%),(%),(%),(%),(%),(%),(%)
Age group,,15 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 and over,Aged 15 and over
Year/Period,Sex,,,,,,,
6/1988 - 8/1988,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.7
7/1988 - 9/1988,Male,5.8,2.4,0.8,0.7,0.9,0.5,1.5
7/1988 - 9/1988,Female,6.4,2.0,0.6,[*7],[*7],[*7],1.5
7/1988 - 9/1988,Both sexes,6.1,2.2,0.7,0.6,0.8,0.5,1.5
8/1988 - 10/1988,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.4
9/1988 - 11/1988,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.2
10/1988 - 12/1988,Male,5.3,1.7,0.5,0.4,0.6,0.6,1.0
10/1988 - 12/1988,Female,6.3,1.3,0.6,0.4,[*7],[*7],1.2
10/1988 - 12/1988,Both sexes,5.8,1.5,0.5,0.4,0.5,0.6,1.1
11/1988 - 1/1989,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.0
12/1988 - 2/1989,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.9
1/1989 - 3/1989,Male,5.0,1.6,0.4,0.5,1.1,0.6,1.0
1/1989 - 3/1989,Female,3.3,1.3,0.5,[*7],[*7],[*7],0.9
1/1989 - 3/1989,Both sexes,4.2,1.4,0.4,0.5,0.9,0.4,1.0
2/1989 - 4/1989,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.2
3/1989 - 5/1989,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.1
4/1989 - 6/1989,Male,3.3,1.8,0.7,0.7,0.7,0.5,1.1
4/1989 - 6/1989,Female,5.2,1.6,0.6,0.6,[*7],[*7],1.2
4/1989 - 6/1989,Both sexes,4.1,1.7,0.7,0.7,0.6,0.3,1.1
5/1989 - 7/1989,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.0
6/1989 - 8/1989,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.1
7/1989 - 9/1989,Male,5.0,1.9,0.6,0.5,0.8,[*7],1.1
7/1989 - 9/1989,Female,5.0,1.8,0.7,[*7],[*7],[*7],1.3
7/1989 - 9/1989,Both sexes,5.0,1.9,0.6,0.4,0.7,[*7],1.2
8/1989 - 10/1989,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.1
9/1989 - 11/1989,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.1
10/1989 - 12/1989,Male,5.7,1.7,0.6,0.7,0.8,0.5,1.1
10/1989 - 12/1989,Female,2.7,1.1,0.5,0.4,[*7],[*7],0.8
10/1989 - 12/1989,Both sexes,4.4,1.4,0.6,0.6,0.6,0.4,1.0
11/1989 - 1/1990,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.0
12/1989 - 2/1990,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.2
1/1990 - 3/1990,Male,6.2,1.7,0.8,0.9,1.3,0.7,1.3
1/1990 - 3/1990,Female,3.2,1.8,1.0,1.3,[*7],[*7],1.4
1/1990 - 3/1990,Both sexes,4.9,1.7,0.9,1.0,1.1,0.6,1.4
